image,label
PNG/CAP_A_0.png,0
PNG/CAP_A_1.png,0
PNG/CAP_A_2.png,0
PNG/CAP_A_3.png,0
PNG/CAP_A_4.png,0
PNG/CAP_A_5.png,0
PNG/CAP_A_6.png,0
PNG/CAP_A_7.png,0
PNG/CAP_A_8.png,0
PNG/CAP_A_9.png,0
PNG/CAP_A_10.png,0
PNG/CAP_A_11.png,0
PNG/CAP_A_12.png,0
PNG/CAP_A_13.png,0
PNG/CAP_A_14.png,0
PNG/CAP_A_15.png,0
PNG/CAP_A_16.png,0
PNG/CAP_A_17.png,0
PNG/CAP_A_18.png,0
PNG/CAP_A_19.png,0
PNG/CAP_A_20.png,0
PNG/CAP_A_21.png,0
PNG/CAP_A_22.png,0
PNG/CAP_A_23.png,0
PNG/CAP_A_24.png,0
PNG/CAP_A_25.png,0
PNG/CAP_A_26.png,0
PNG/CAP_A_27.png,0
PNG/CAP_A_28.png,0
PNG/CAP_A_29.png,0
PNG/CAP_A_30.png,0
PNG/CAP_A_31.png,0
PNG/CAP_A_32.png,0
PNG/CAP_A_33.png,0
PNG/CAP_A_34.png,0
PNG/CAP_A_35.png,0
PNG/CAP_A_36.png,0
PNG/CAP_A_37.png,0
PNG/CAP_A_38.png,0
PNG/CAP_A_39.png,0
PNG/CAP_A_40.png,0
PNG/CAP_A_41.png,0
PNG/CAP_A_42.png,0
PNG/CAP_A_43.png,0
PNG/CAP_A_44.png,0
PNG/CAP_A_45.png,0
PNG/CAP_A_46.png,0
PNG/CAP_A_47.png,0
PNG/CAP_A_48.png,0
PNG/CAP_A_49.png,0
PNG/CAP_A_50.png,0
PNG/CAP_A_51.png,0
PNG/CAP_A_52.png,0
PNG/CAP_A_53.png,0
PNG/CAP_A_54.png,0
PNG/CAP_A_55.png,0
PNG/CAP_A_56.png,0
PNG/CAP_A_57.png,0
PNG/CAP_A_58.png,0
PNG/CAP_A_59.png,0
PNG/CAP_A_60.png,0
PNG/CAP_A_61.png,0
PNG/CAP_A_62.png,0
PNG/CAP_A_63.png,0
PNG/CAP_A_64.png,0
PNG/CAP_A_65.png,0
PNG/CAP_A_66.png,0
PNG/CAP_A_67.png,0
PNG/CAP_A_68.png,0
PNG/CAP_A_69.png,0
PNG/CAP_A_70.png,0
PNG/CAP_A_71.png,0
PNG/CAP_A_72.png,0
PNG/CAP_A_73.png,0
PNG/CAP_A_74.png,0
PNG/CAP_A_75.png,0
PNG/CAP_A_76.png,0
PNG/CAP_A_77.png,0
PNG/CAP_A_78.png,0
PNG/CAP_A_79.png,0
PNG/CAP_A_80.png,0
PNG/CAP_A_81.png,0
PNG/CAP_A_82.png,0
PNG/CAP_A_83.png,0
PNG/CAP_A_84.png,0
PNG/CAP_A_85.png,0
PNG/CAP_A_86.png,0
PNG/CAP_A_87.png,0
PNG/CAP_A_88.png,0
PNG/CAP_A_89.png,0
PNG/CAP_A_90.png,0
PNG/CAP_A_91.png,0
PNG/CAP_A_92.png,0
PNG/CAP_A_93.png,0
PNG/CAP_A_94.png,0
PNG/CAP_A_95.png,0
PNG/CAP_A_96.png,0
PNG/CAP_A_97.png,0
